iter	RMSE
335	1035644.749
336	1033250.97
337	1030777.714
338	1029570.261
339	1026169.212
340	1023848.36
341	1023191.935
342	1022383.424
343	1021272.772
344	1018504.069
345	1015783.12
346	1013976.688
347	1013116.358
348	1011278.93
349	1008681.863
350	1006040.996
351	1004276.096
352	1003698.396
353	1002915.097
354	999967.4433
355	996967.5164
356	996181.8329
357	993555.8226
358	989376.2688
359	988305.9034
360	987419.7928
361	986387.3313
362	985051.7326
363	983400.8397
364	982780.0854
365	980905.428
366	978854.3511
367	976958.8715
368	974802.0615
369	974489.3736
370	974110.2128
371	973355.639
372	971200.2151
373	969541.2644
374	967470.7269
375	965830.5973
376	964538.6683
377	962988.8315
378	962294.6436
379	960431.6166
380	958858.542
381	957283.7243
382	954731.2542
383	952793.4173
384	950218.8856
385	948311.2959
386	946487.1359
387	946005.7824
388	944849.8909
389	943853.6019
390	941817.5246
391	940907.8168
392	938963.3387
393	936620.4518
394	935108.9388
395	932902.3135
396	931735.1435
397	929625.4041
398	928954.8895
399	928301.0308
400	926256.8645
401	923716.9165
402	922918.4216
403	921214.6877
404	920364.6315
405	918866.0638
406	917889.0844
407	916950.5803
408	913850.4124
409	912823.8327
410	911371.7549
411	909347.3152
412	907162.7778
413	905295.8762
414	903197.292
415	902257.4306
416	900420.3112
417	898904.413
418	897285.3162
419	895716.0841
420	893982.6218
421	893117.1771
422	891267.2641
423	890714.1042
424	889559.7139
425	887511.6344
426	885751.7914
427	884425.4787
428	882491.6208
429	881733.9459
430	880955.5324
431	879988.0216
432	879225.2923
433	877626.3631
434	876529.5731
435	874903.2906
436	873760.2024
437	873433.3356
438	871881.5694
439	870931.3594
440	869505.7304
441	868419.1828
442	866684.1553
443	866099.1587
444	865197.3407
445	864269.8345
446	862582.8216
447	860871.4413
448	859513.7964
449	858713.3473
450	857742.2828
451	856261.0377
452	855113.7438
453	853621.4484
454	851929.717
455	850324.714
456	848758.6373
457	848137.073
458	847900.006
459	847136.5643
460	846393.2098
461	844977.9059
462	843168.6542
463	842724.8425
464	842497.3387
465	841543.0876
466	840179.777
467	838185.9113
468	837121.3167
469	836062.0762
470	835342.483
471	834507.5653
472	832958.1907
473	831693.436
474	829710.118
475	828370.0786
476	827462.826
477	826772.999
478	826638.8189
479	825986.5877
480	824783.4015
481	824273.6865
482	823252.9872
483	821537.9656
484	819125.9677
485	817662.6462
486	816027.3837
487	814796.4643
488	813071.8315
489	812611.0756
490	811694.1708
491	810810.7618
492	808972.5014
493	808617.7127
494	807376.1488
495	806055.1765
496	804853.3157
497	802477.1629
498	801190.9457
499	800015.774
500	797952.2223
501	797156.0491
502	795892.2964
503	794669.641
504	792765.8302
505	792216.0982
506	790002.991
507	788710.7708
508	787668.5279
509	786472.4284
510	785041.2298
511	783374.9885
512	782049.1413
513	780698.1751
514	778538.4483
515	777476.4965
516	776055.4615
517	775542.7898
518	774719.1939
519	773381.8221
520	772095.348
521	771211.2124
522	769949.2777
523	768942.6443
524	768421.1049
525	767758.2649
526	767140.085
527	766293.0935
528	765589.9487
529	764886.731
530	764245.217
531	762960.9752
532	761280.6668
533	759871.3372
534	758627.5931
535	757749.1353
536	756542.2604
537	754754.0725
538	754235.6173
539	752343.6745
540	751028.7779
541	749936.165
542	748961.6538
543	748020.2
544	747230.452
545	746549.8011
546	745599.9445
547	744237.6368
548	742980.323
549	741898.4893
550	741299.2025
551	740370.0361
552	739455.4529
553	738436.0019
554	737660.2123
555	736340.0169
556	735493.6529
557	733921.5288
558	733417.8087
559	732319.4544
560	731289.5895
561	730291.6048
562	729927.1411
563	727824.7883
564	727127.9811
565	726602.6021
566	725939.3435
567	725317.845
568	724334.8521
569	723132.788
570	722127.1247
571	721622.4129
572	720648.7648
573	719626.7027
574	719222.474
575	718235.0599
576	717195.8116
577	715562.6718
578	714929.4636
579	714005.2749
580	713456.1656
581	712538.9777
582	711877.6002
583	710928.5067
584	710320.6126
585	709764.5705
586	708739.8229
587	708313.8413
588	707228.1555
589	706565.4647
590	705454.6602
591	704488.2397
592	703756.5267
593	702634.2617
594	700646.4031
595	700118.8323
596	699018.3057
597	697894.1706
598	697207.3847
599	696757.2597
600	695546.0466
601	694554.308
602	693480.6302
603	692254.0644
604	691738.1053
605	691334.7649
606	690733.9118
607	689810.9827
608	689200.539
609	687755.3992
610	687348.2276
611	686196.193
612	685063.2555
613	684729.8696
614	684550.2937
615	683663.2462
616	682286.7778
617	680885.4094
618	680251.8234
619	678935.2493
620	677847.2067
621	676802.7874
622	676227.3884
623	674656.9275
624	673871.8297
625	672918.8039
626	672417.8852
627	670567.566
628	670098.0784
629	669983.7054
630	669446.6725
631	668412.3373
632	667406.646
633	666143.4497
634	665103.5078
635	664221.435
636	663780.1533
637	662821.928
638	661955.8491
639	661802.232
640	661058.0126
641	659907.9977
642	659367.1438
643	658468.0467
644	657810.1094
645	656774.9108
646	656322.7954
647	655843.9733
648	655370.372
649	654305.7316
650	652920.9958
651	651213.2734
652	650151.2585
653	649814.7386
654	649004.1145
655	648544.1518
656	648240.6162
657	647794.2158
658	646744.6317
659	645898.5262
660	645389.0553
661	644823.5988
662	643934.0524
663	643029.5287
664	642474.3069
665	641363.8939
666	640246.3842
667	639631.1811
668	639102.1597
669	638557.2882
670	638159.3158
671	636623.4894
672	636153.1357
673	635758.2823
674	634902.23
675	634128.2446
676	633447.4484
677	632731.9676
678	631567.5415
679	631111.8292
680	630706.4165
681	629978.1016
682	629468.2204
683	628787.6233
684	628415.5288
685	627973.1195
686	627231.0209
687	626840.0132
688	626428.7287
689	626149.7816
690	624962.2711
691	623402.44
692	622969.638
693	622802.7339
694	622319.4924
695	621846.0372
696	621512.0927
697	620740.9828
698	620338.6883
699	619292.1584
700	618943.3646
701	617203.3731
702	616980.4836
703	615905.1416
704	614919.6664
705	614423.8252
706	613281.9838
707	612788.2981
708	612646.0709
709	612167.4026
710	611723.7185
711	611176.382
712	610683.4733
713	609652.3255
714	608947.7852
715	608543.4395
716	607714.8578
717	607590.5524
718	606847.2064
719	606291.5823
720	605650.3513
721	603862.9883
722	603037.8711
723	601913.4277
724	601718.8236
725	601207.9295
726	601047.7363
727	600538.2513
728	600435.9035
729	599957.9894
730	599780.9249
731	599285.0067
732	598642.2048
733	597856.9661
734	597758.0081
735	597423.1708
736	597011.8118
737	596705.8611
738	596020.4555
739	595204.4797
740	595142.4874
741	594274.8142
742	593805.2682
743	592720.2647
744	592195.2972
745	590643.5053
746	589758.07
747	589354.2941
748	588522.8971
749	588222.6511
750	587606.0369
751	587185.3398
752	586225.2672
753	585541.1136
754	584234.9961
755	583783.5915
756	583675.346
757	583200.6668
758	582456.4925
759	581999.6779
760	581474.4506
761	580748.6664
762	580408.0395
763	579593.216
764	578584.6899
765	577784.487
766	577363.7758
767	576896.9854
768	576532.5233
769	575671.0899
770	574510.4229
771	573882.9243
772	573806.4211
773	573237.263
774	572302.1301
775	571783.4682
776	571023.0082
777	570220.0415
778	570117.1588
779	569588.5605
780	569463.7157
781	569106.5919
782	568664.1769
783	568407.4096
784	568129.1528
785	567688.5517
786	567242.8906
787	566614.915
788	566093.0122
789	565298.5306
790	564952.0442
791	564145.4951
792	563811.424
793	563337.2927
794	562431.7639
795	562044.1137
796	561491.1155
797	560925.1943
798	560713.1908
799	560400.9536
800	559612.958
801	559059.1734
802	558633.0124
803	558006.4999
804	557907.6926
805	557546.9048
806	556935.5203
807	555954.8682
808	555354.7835
809	555061.5524
810	554504.3596
811	553865.2379
812	553150.6837
813	552712.1645
814	552291.8931
815	551260.314
816	550937.0389
817	550847.4988
818	550041.7893
819	549719.5284
820	548403.0728
821	547740.3627
822	546943.15
823	546637.2544
824	546368.28
825	545417.6769
826	544817.4884
827	544055.6658
828	543651.3353
829	542994.0232
830	542233.6856
831	541914.7108
832	541834.9656
833	541074.9694
834	540800.1197
835	540083.9754
836	539800.7908
837	539079.0468
838	538361.8897
839	537943.6102
840	537509.615
841	537248.8177
842	536748.2469
843	536410.5565
844	535894.8181
845	535336.0081
846	534316.4426
847	533926.1068
848	533537.992
849	532906.0592
850	532191.2925
851	531689.5237
852	531185.6457
853	530570.8299
854	530500.0235
855	530200.4539
856	529779.861
857	529218.5717
858	528735.8313
859	528642.5487
860	527844.0824
861	527604.1545
862	526903.7883
863	526430.8759
864	526164.6974
865	525907.1591
866	525591.9856
867	525335.6309
868	524929.9957
869	524490.2497
870	523781.7817
871	523412.1838
872	522911.1016
873	522633.7928
874	522011.2017
875	521530.1465
876	520034.3973
877	519254.4464
878	518684.4325
879	517761.8786
880	517041.839
881	516723.3735
882	516208.7401
883	515977.3159
884	515577.2266
885	514912.4145
886	514407.6219
887	514319.7577
888	513718.9461
889	513075.8314
890	512697.2922
891	512238.1687
892	511277.9561
893	510689.8388
894	510243.6905
895	509939.6597
896	509125.0379
897	508594.1647
898	508506.4694
899	507799.8264
900	507365.2673
901	506981.755
902	506689.4408
903	506342.0286
904	506004.23
905	505694.5968
906	505361.4973
907	504930.464
908	504555.9564
909	504206.7165
910	503997.4849
911	503843.3243
912	503324.9575
913	502954.8865
914	502573.7236
915	502464.5539
916	501093.8571
917	500622.6736
918	499283.3722
919	499121.0019
920	498866.7013
921	498571.4204
922	498092.3476
923	497775.8653
924	497465.0745
925	496730.8331
926	496532.1941
927	496125.8189
928	495767.4018
929	495468.1345
930	494832.2177
931	494462.9885
932	493927.0483
933	493100.9691
934	493021.6009
935	492756.3332
936	492669.0701
937	492307.928
938	491695.288
939	491498.1325
940	491161.2554
941	490682.5172
942	490366.802
943	490104.1193
944	490024.8357
945	489950.4461
946	489848.2949
947	489239.1903
948	488652.8322
949	488311.6504
950	488028.2659
951	487427.636
952	486938.2849
953	486205.2137
954	485895.327
955	485219.1405
956	485032.5853
957	484644.9839
958	483548.7732
959	482830.0651
960	481941.0898
961	481643.418
962	481066.6291
963	480825.6225
964	480368.078
965	479870.7216
966	479778.3882
967	479489.4024
968	479194.5931
969	478462.1428
970	478413.0515
971	477724.9116
972	477116.2234
973	476412.1417
974	475325.9001
975	474991.4907
976	474930.2404
977	474172.6183
978	473870.4774
979	473671.3049
980	473588.9262
981	473273.1078
982	473240.7293
983	472903.9396
984	472433.0148
985	472247.1286
986	471888.733
987	471571.1817
988	471056.3366
989	470631.639
990	470329.8968
991	470164.9753
992	470042.007
993	469874.7152
994	469806.2502
995	469005.8159
996	468857.9182
997	468584.1126
998	468351.3216
999	467166.3747
